description,department,label
"A patient was in the end stages of her illness from lung cancer and was receiving Hospice care. The nurse caring for the patient recognized that the patient was likely to expire within the next 24 hours. The program¡¯s care standards were that patients without family or others who could stay with them at this stage (such as this patient) should be provided in person care and support. The nurse contacted the agency office because he was leaving for a trip that evening. Because it was a major holiday the next day, they were unable to find any staff willing to care for this patient. The patient expired the next day alone and likely in some pain.",internal medicine,SSE
A patient presents for a surgical revision of a vascular shunt at an Ambulatory Surgery Center. The patient had a documented history of MRSA. This organization¡¯s practice was to use Vancomycin for SSI prophylaxis particularly in procedures such as these. The information concerning the MRSA was not available to the surgical team preoperatively due to an unrecognized error in the coding of a new electronic health record. The patient did not receive the correct preoperative antibiotic and as a result developed a surgical site infection requiring several returns to the OR for debridement/washout and prolonged intravenous treatment with Vancomycin.,surgery,SSE
A patient came to an Urgent Care Clinic with an ankle injury. The treatment for the injury included a special ¡°boot¡± for stabilization of the joint. Over next couple of weeks the patient came back to the clinic 3 more times complaining of pain and swelling around her ankle. Xray¡¯s taken didn¡¯t indicate and further ankle injury and the caregivers (different each time) just determined the patient was using her foot too much and not elevating as instructed. A day after her last visit she came to the ED with complaints of chest pain and it was determined she had blood clots in her lung that had originated from the ankle injury. The patient was hospitalized for 3 days.,outpatient/er,SSE
While receiving care in an Outpatient Dialysis Center for approximately two weeks a patient developed an infection in his central venous catheter. It wasn¡¯t clear how this infection occurred. It was suspected that staff did not perform the central line infection prevention protocol correctly or perhaps performed the correct actions inconsistently. No one was certain or could identify where the error occurred. The patient required IV antibiotics and was admitted to the hospital for several days.,radiology/imaging,SSE
"A patient was receiving care in an OB Clinic. This patient had a history of insulin dependent gestational diabetes. Although the clinic did instruct the patient in how to care for the problem, she was known to have some behavioral health and social issues and was inconsistent in self-care and didn¡¯t always keep her visits. They discussed options to more safely care for this patient but hadn¡¯t implemented a plan of care. Ultimately the patient delivered the infant via c section, but there was unfortunately a fetal demise.",ob/gyn/nicu,SSE
"A patient came to an Urgent Care Clinic after slamming a hammer on his finger at a construction site. During the procedure to treat the serious injury, the MD made an incision to drain hematoma using cautery pin. She had a dry gauze in her other hand and it inadvertently came in contact with the cautery. This sparked a fire and the patient received a second degree burn to his hand. They decided to admit the patient overnight for IV antibiotics as an extra precaution.",outpatient/er,SSE
"A patient had a procedure for a breast biopsy in an Outpatient Women¡¯s Center. The information concerning the side intended for the procedure was unclear but the patient said she believed it was going to be on the left side. The technician prepared the patient for this side and the physician arrived and did the procedure. When the physician got the results several days later, he realized that the incorrect side had been done. Because of the concern for possible cancer diagnosis, the patient had to return for another procedure the next day.",outpatient/er,SSE
"A patient was at an ambulatory radiology department at a rural health clinic. In order to have the procedure done, the patient needed to get up on the table. While he was doing this he cut his leg on the edge of the table. This required several stiches to repair the laceration. The problem was that the extension for the table wasn't pulled out all the way because it was old and had some rust on it. The table had to be replaced, but the Clinic hadn¡¯t yet done that despite some complaints from the staff.",radiology/imaging,SSE
"A 62-year-old woman presented with shortness of breath and mild chest discomfort. The ED ordered D-dimer, which returned at 2.8 _g/mL (elevated). The result was visible in the electronic chart but not reviewed by the hospitalist. The patient was admitted with a diagnosis of ¡°bronchitis.¡± Two days later, she collapsed suddenly; CT angiography revealed a massive pulmonary embolism. Despite thrombolysis, she died.",internal medicine,SSE
"A 58-year-old man with type 2 diabetes was admitted for infection and received sliding-scale insulin. The nurse mistakenly administered 40 units of regular insulin instead of 4 units due to a decimal point error. Within 30 minutes, the patient became unresponsive; his blood glucose was 19 mg/dL. Despite IV dextrose, he suffered prolonged hypoglycemia and developed anoxic brain injury.",internal medicine,SSE
"A 70-year-old woman was started on IV heparin for DVT. Despite being on continuous infusion, her aPTT was not rechecked for over 24 hours. She developed flank pain and hypotension; CT showed retroperitoneal hematoma. The heparin infusion had continued unchecked at a supratherapeutic rate. She required massive transfusion and ICU care, surviving with chronic renal impairment.",internal medicine,SSE
"A 65-year-old man with COPD was receiving long-term IV antibiotics through a PICC line. The dressing was not changed for over 10 days, and the line was accessed multiple times without proper aseptic technique. He developed chills, hypotension, and positive blood cultures for MRSA. Despite antibiotics and line removal, he developed endocarditis and died 2 weeks later.",internal medicine,SSE
"A 47-year-old male was scheduled for right knee arthroscopy due to meniscal tear. The surgical site was not properly marked, and during the preoperative time-out, the circulating nurse called out ¡°knee scope¡± without specifying the side. The left knee was prepped and draped. The surgeon completed arthroscopy before realizing the error. The patient later required a second surgery on the correct knee.",surgery,SSE
"A 60-year-old woman underwent exploratory laparotomy for bowel obstruction. Sponge counts were performed but inconsistent; one count discrepancy was ¡°resolved¡± verbally. No intraoperative X-ray was obtained. Ten days later, the patient developed fever and abdominal pain. CT showed a retained sponge (gossypiboma). She underwent reoperation and prolonged recovery with wound infection.",surgery,SSE
"A 72-year-old man underwent partial colectomy. In the recovery unit, he became tachycardic and hypotensive, but the team attributed this to anesthesia effects. No labs were ordered for 4 hours. By the time CBC was drawn, hemoglobin had dropped from 12 to 6 g/dL. Re-exploration revealed an active arterial bleeder at the anastomosis site. Despite transfusion, the patient suffered multi-organ failure and died.",surgery,SSE
"A 68-year-old patient underwent facial lesion excision under sedation with supplemental oxygen via nasal cannula. During electrocautery, sparks ignited oxygen accumulated under the drapes, causing facial burns. The patient suffered partial-thickness burns to the cheeks and nose, requiring skin grafting.",surgery,SSE
"A 32-year-old woman delivered vaginally after an uncomplicated labor. Thirty minutes postpartum, she developed heavy vaginal bleeding. The nurse measured estimated blood loss as 400 mL and documented ¡°within normal limits.¡± No vital signs were repeated for 40 minutes. When the physician arrived, the patient was pale and hypotensive; estimated blood loss exceeded 1,800 mL. Despite transfusion and emergency hysterectomy, she died of hemorrhagic shock.",ob/gyn/nicu,SSE
"A 29-year-old woman with preeclampsia was prescribed magnesium sulfate for seizure prophylaxis. The pharmacy prepared a 10¡Á concentrated solution due to a compounding error. The nurse administered the solution without independent double-check. The patient developed respiratory arrest within minutes. An emergent cesarean section delivered the newborn, who suffered severe hypoxic injury and died. The mother survived after prolonged ICU stay.",ob/gyn/nicu,SSE
"Two infants born within minutes of each other were taken to the nursery for routine care. Due to identical blankets and missing wristband verification, the babies were accidentally switched. One newborn received the wrong mother¡¯s expressed breast milk for 12 hours before the mistake was discovered. Both families required infectious disease testing and legal counseling.",ob/gyn/nicu,SSE
"A 34-year-old woman underwent cesarean delivery. On postoperative day 2, she developed fever and tachycardia. The nurse noted ¡°likely viral¡± and gave acetaminophen without notifying the physician. Over the next 12 hours, the patient deteriorated with hypotension and altered mental status. She was transferred to ICU with septic shock secondary to endometritis and later died.",ob/gyn/nicu,SSE
"A 56-year-old man presented to the emergency department with headache after minor head trauma. A CT scan of the head was performed at 9:15 PM, showing a small right subdural hematoma. However, due to radiologist backlog, the study was not reviewed until 6:30 AM. During the night, the patient¡¯s mental status deteriorated, and he was found unresponsive. Neurosurgical intervention was no longer feasible, and he died of herniation.",radiology/imaging,SSE
"A 65-year-old woman underwent CT angiography with iodinated contrast. Her chart indicated prior mild contrast reaction, but no premedication was given. Shortly after injection, she developed severe anaphylaxis with airway obstruction and hypotension. Epinephrine was delayed because no crash cart was immediately available in the imaging suite. The patient went into cardiac arrest and could not be resuscitated.",radiology/imaging,SSE
"A 42-year-old ICU patient required brain MRI for altered mental status. A transport nurse brought the patient with a portable oxygen cylinder into the MRI room. The ferromagnetic tank was drawn into the bore of the magnet, striking the patient¡¯s head. The patient sustained skull fracture and intracranial hemorrhage and died from traumatic brain injury.",radiology/imaging,SSE
"A 59-year-old smoker underwent chest CT for pneumonia follow-up. The radiologist noted a 1.8 cm spiculated lung nodule suspicious for malignancy and included it in the report impression. The report was signed but not flagged as critical, and the ordering physician did not review it for three months. The patient returned later with metastatic lung cancer.",radiology/imaging,SSE
"A 51-year-old man presented to the emergency department with chest tightness and mild shortness of breath. His ECG showed nonspecific ST changes, and initial troponin was slightly elevated at 0.06 ng/mL. The physician diagnosed ¡°panic attack¡± and discharged him home. The patient returned 6 hours later in cardiac arrest. Postmortem findings confirmed an acute anterior-wall myocardial infarction.",outpatient/er,SSE
"A 36-year-old woman presented to an urgent care clinic with a severe peanut allergy reaction. The nurse intended to give 0.3 mg intramuscular epinephrine but mistakenly administered 1 mg intravenously (IV concentration). The patient immediately developed ventricular fibrillation. Despite CPR, she sustained anoxic brain injury and died two days later.",outpatient/er,SSE
A 45-year-old male with schizophrenia became agitated in the emergency department. Security and nursing staff physically restrained him face-down on the stretcher. The patient stopped breathing within minutes. CPR was initiated but unsuccessful. Autopsy showed asphyxia due to prone restraint and chest compression.,outpatient/er,SSE
"A 68-year-old woman with suspected urosepsis arrived at the emergency department with hypotension. Blood cultures and antibiotics were ordered, but the ICU was at capacity. The patient remained in the ER hallway for 12 hours without continuous vasopressor support. She suffered cardiac arrest and died. Later review showed no escalation to the hospital transfer command.",outpatient/er,SSE
"A patient was being treated in the Cardiac Progressive Care Unit and had a heparin
lock in place. As part of the routine hep-lock care, the nurse administered what
she thought was the usual hep-lock flush solution from an unlabeled syringe
she previously placed at the bedside. However, the syringe actually contained
Cardizem, which she administered to the patient. The patient experienced an
immediate hypotensive reaction, which quickly resolved without further incident.",internal medicine,PSE
"Patient #1, was admitted with severe anemia and required a blood transfusion.
Another patient, #2 was admitted to the same hematology unit with severe
anemia and also required a blood transfusion. Patient #1 had Type O blood; patient
2 had Type A+ blood. Per protocol, two nurses did a double check when blood was
administered to patient #1, but they didn¡¯t realize that the blood was an incorrect
type. Patient #1 received the wrong transfusion (patient #2¡¯s transfusion) but
fortunately suffered no immediate blood reaction. However, over the long term,
this patient may have a suppressed reaction with another transfusion due to the
presence of A antigens.",internal medicine,PSE
"A patient had a laparoscopic hysterectomy and was discharged post-operatively
without complications. She had discharge instructions for a follow-up visit which
was scheduled for several days after discharge. During an examination at this
follow-up visit, the surgeon discovered and removed a surgical sponge which had
been placed in the vaginal space as part of the procedure. There was no infection
noted.",ob/gyn/nicu,PSE
"A Sterile Processing Technician was cleaning three flexible endoscopes when he
was interrupted to do another task in the OR. He handed off the cleaning task to
second technician. In the hand-off, Tech #1 tells Tech #2 that enzymatic flush ¡°was
yet to be done¡±, but Tech #2 hears this as the flush ¡°had been done¡±. No repeat
back is performed. Tech #2 noted that this step in the cleaning checklist had not
been initialed by Tech #1, but does not ask clarifying questions. She completed
the task but left the checklist to be completed by the other Tech later that day.
All three endoscopes were returned to service and used that afternoon, having
manual brush cleaning only. When presented with the checklist the next day, Tech
#1 confirmed that he had not done the enzymatic cleaning. Patients and families
notified, and all started on prophylactic antibiotics as a precaution. No signs of
infection reported at time of contact.",radiology/imaging,PSE
"A client of a Home Care program who was recovering at home after a traumatic
brain injury. She was getting home therapy and during an OT appointment, the
therapist applied a wet heat pack for treatment. The pack was heated in the
microwave and had a washcloth rolled around it. The therapist thought the
temperature was fine but didn¡¯t notice that the patient winced when it was applied
to her wrist and hand. When she checked it about 15 minutes later, she discovered
that the patient had experienced a second-degree burn - red area and small
blister - to his hand and wrist. Ointment and a gauze bandage were applied and
the patient had no further problem.",outpatient/er,PSE
"A resident of a SNF had recently been admitted from an acute care hospital. The
resident had been taking coumadin in the hospital, but the medication wasn¡¯t
included in the order list. It was included in the discharge summary problem list
and medications, but the admitting physician didn¡¯t order this medication. The
pharmacist at the SNF did a medication reconciliation but despite mentions of
the med in the discharge summary (which was not electronic) and recommended
blood work related to the mediation didn¡¯t pick up on the discrepancy to discover
the error. The resident missed the medication for 5 days when the error was
discovered. The resident didn¡¯t appear to experience any harm but there was
concern for problems later in their care.",internal medicine,PSE
"A patient (#1) of a Rehabilitation Center had been admitted after acute care
for a head injury. As part of the initial assessment he was identified as a low risk
for elopement. Several weeks after admission however, his mental cognition
began to change a bit. Some staff caring for him for the past two days noticed
the difference and began to talk about it. Also, another patient (#2) had told a
therapist that he (#1) had been talking about wanting to ¡°get out¡±.
Because he (#1) was within days of discharge, she assumed that what he meant
about ¡°getting out¡±. The therapist intended to discuss this at the team meeting
that day but it was canceled and she forgot. The next morning, he went outside
the facility but no one stopped him to check as he seemed to be OK. They realized
two hours later he had eloped. He was found about 6 hours after leaving and
seemed to have no apparent physical injury but was found comatose later that
evening. After admission to the hospital they discovered that he was experiences
some cranial rebleeding. If it had been discovered and addressed sooner, it was
likely they would have been able to prevent the more severe physical limitations
that resulted.",internal medicine,PSE
"An OB patient was receiving Rhogam shots during her pregnancy. She was given
the 50 mcg dose instead of a 300 mcg dose. This was discovered the next day. In
total, three patients received the wrong dose and they all had to come back to the
clinic to receive the correct dose. The problem occurred because the pharmacy
tech inadvertently ordered wrong dose vials of drug and the CMA and LPN who
administered the doses didn¡¯t double check that they had the wrong amount
because the vials looked the same and this was the amount they always gave.",ob/gyn/nicu,PSE
"A Scheduling Clerk in a large Ambulatory Care Practice was scheduling an Xray
procedure for a patient. While doing this she inadvertently chose the wrong
patient¡¯s name in the list on the computer. It turned out that the two patients in
the list were actually a father and a son. They had the same name (except for a Jr
and a Sr) and the same month and year as a birthday. She chose the son¡¯s name
instead of the father. The error was discovered when the father showed up for the
procedure and the Radiology Tech realized there was a problem because the birth
year was 2005 and this patient clearly wasn¡¯t 15 years old! The error was corrected
in the computer and the patient received the correct procedure.",radiology/imaging,PSE
"A 72-year-old man on diuretics had a morning potassium level of 2.9 mEq/L. The lab result was posted in the EHR at 08:45 AM but not reviewed until 3 PM. The patient received his routine diuretic dose at noon and later developed mild muscle cramps. Potassium was replaced promptly after recognition, and symptoms resolved.",internal medicine,PSE
A 54-year-old woman with a penicillin allergy was prescribed amoxicillin_clavulanate for sinus infection. Her allergy information was present in the chart but not carried forward into the electronic order entry. The nurse administered one oral dose before the pharmacist identified the error. The patient was observed for 24 hours and remained asymptomatic.,internal medicine,PSE
"A 60-year-old patient with dehydration was prescribed normal saline 125 mL/hr. The infusion pump was inadvertently set at 500 mL/hr due to a keypad error. After 40 minutes, the patient developed mild hypotension and dizziness. The infusion was stopped and restarted correctly; blood pressure normalized without further issues.",internal medicine,PSE
"A 74-year-old man with chronic obstructive pulmonary disease (COPD) was admitted for shortness of breath. He was prescribed supplemental oxygen via nasal cannula at 2 L/min. During a nursing shift change, the oxygen flow meter was inadvertently turned to 8 L/min. The patient later complained of dizziness and shortness of breath. His oxygen saturation dropped to 88%. The flow was corrected, and within minutes his oxygen level returned to baseline with no lasting effects.",internal medicine,PSE
A 62-year-old man was scheduled for elective hernia repair and ordered cefazolin 2 g IV as preoperative prophylaxis. The nurse mistakenly administered ceftriaxone instead. The patient had no allergy and tolerated the medication without reaction. The error was discovered postoperatively during chart review.,surgery,PSE
"During a laparoscopic cholecystectomy, the scrub nurse noted a needle count discrepancy before closure. The surgical team stopped and performed an intraoperative X-ray, locating a small suture needle within the drape folds. The object was retrieved, and the procedure completed without complication.",surgery,PSE
"A 70-year-old woman underwent hip replacement surgery. Due to incomplete padding under her right elbow, she developed a 3 cm area of redness and mild tenderness postoperatively. No skin breakdown occurred, and the condition resolved within 48 hours with topical care.",surgery,PSE
"A 66-year-old man underwent laparoscopic appendectomy under general anesthesia. During postoperative dressing removal, nursing staff noted a 2 cm erythematous area under the electrocautery grounding pad site on the patient¡¯s thigh. The skin was intact but warm and tender. The area was treated with a topical ointment and resolved within three days with no scarring.",surgery,PSE
"A 30-year-old woman in active labor was prescribed oxytocin at 6 mU/min for augmentation. Due to a pump programming error, the infusion was set to 60 mU/min. After 15 minutes, the patient developed mild hypotension and uterine tachysystole. The infusion was stopped immediately and restarted at the correct rate. Fetal monitoring remained normal, and both mother and baby were stable after delivery.",ob/gyn/nicu,PSE
"A 26-year-old woman was in labor and connected to a fetal heart monitor. The tocodynamometer cable was connected, but the fetal probe was inadvertently unplugged during patient repositioning. The system displayed a ¡°signal lost¡± message, but the alarm volume was turned off. The issue was discovered after 12 minutes. Fetal tracing resumed and remained normal. No adverse outcomes occurred.",ob/gyn/nicu,PSE
"A 33-year-old woman with epidural analgesia during labor reported increasing pain. Examination revealed that the epidural catheter had dislodged approximately 3 cm due to inadequate tape fixation during position change. The catheter was replaced promptly, and pain control restored. No complications occurred.",ob/gyn/nicu,PSE
"A 29-year-old woman developed mild perineal swelling and pain six hours after vaginal delivery with mediolateral episiotomy. Examination revealed a small 3 cm hematoma at the incision site. The hematoma was aspirated, and pressure dressing applied. Symptoms resolved in 48 hours without infection or tissue damage.",ob/gyn/nicu,PSE
"A 59-year-old man underwent CT angiography. The contrast injector was programmed for 150 mL instead of 100 mL due to manual entry error. The patient received the full 150 mL dose without immediate complications. Post-procedure, renal function was monitored and remained normal.",radiology/imaging,PSE
"A 45-year-old woman with a documented iodine allergy was mistakenly given iodinated contrast for abdominal CT. The allergy information was listed in her chart but not visible in the radiology order interface. The patient developed mild urticaria and itching, treated with antihistamines and observation. No further reaction occurred.",radiology/imaging,PSE
"A 52-year-old patient scheduled for brain MRI reported having a dental implant, but the MRI safety screening form was left incomplete. The technologist discovered the implant during positioning and confirmed compatibility before scanning. The procedure continued safely with no adverse effects.",radiology/imaging,PSE
"A CT abdomen performed at 8 AM revealed free intraperitoneal air suggesting bowel perforation. The interpreting radiologist marked the report ¡°urgent,¡± but the system auto-routed it into the standard queue. The surgical team did not review the report until 2 PM. The patient was already being observed in the ward but remained stable and later underwent surgery without complication.",radiology/imaging,PSE
"A 50-year-old man presented to the emergency department with mild chest discomfort. An ECG was obtained and automatically interpreted as ¡°possible ischemia.¡± The attending physician did not review the tracing before discharge, assuming the pain was musculoskeletal. The patient was called back the next morning after radiology over-read confirmed minor ST changes. He was asymptomatic and later diagnosed with stable angina, started on medication.",outpatient/er,PSE
A 22-year-old woman with urinary tract infection was prescribed 250 mg ciprofloxacin twice daily instead of 500 mg due to a drop-down menu selection error in the clinic EHR. The error was caught by the pharmacist the next morning before the second dose. The patient had mild persistence of symptoms but no complications after correction.,outpatient/er,PSE
"A 64-year-old patient with community-acquired pneumonia in the ER was ordered IV ceftriaxone and azithromycin. Due to IV line infiltration, antibiotics were delayed for 2 hours while a new line was placed. The patient remained stable, received full treatment, and was discharged after 3 days without complications.",outpatient/er,PSE
"In the outpatient lab, two patients with similar names were registered simultaneously. One patient¡¯s blood was labeled under the other¡¯s chart. The lab detected the mismatch during verification because the test type did not match the clinical order. The sample was discarded and recollected. Neither patient received incorrect treatment.",outpatient/er,PSE
"A nurse in a health care systems¡¯ float pool is assigned to work at the
organization¡¯s Assisted Living Facility for several days. He begins passing out
medications to the residents and some of them aren¡¯t in their room but in the
facility¡¯s Day Room. Most of the resident¡¯s don¡¯t wear arm bands but have pictures
inside their rooms for identification. The nurse depended on patient¡¯s selfidentifying
when passing meds in the Day Room. He had been introduced to the
patients earlier that day and thinking he knew the patients, did the identification
with saying the patient¡¯s name as it seemed quicker and he was behind in
this task. When the patient agreed, he gave the pill packet to them. Another
resident hearing what transpired walked up to tell the nurse that this patient was
responding to the wrong name. The nurse took the medications back and began
to perform the identification process correctly by asking the patient to state name
and DOB.",internal medicine,NME
"A physician was providing care via the TeleHealth service for a Primary Care
Clinic. A patient with a history of atrial fibrillation needed a new prescription for
coumadin. Blood work had been obtained and after talking with the patient,
the physician ordered the new prescription dose electronically. However, he
inadvertently ordered a much higher does than intended. It wasn¡¯t high enough
for the EHR alert to fire. The Pharmacy Tech prepared the medication for the
patient to pick up. When the pharmacist in the clinic reviewed the work the Tech
had done, he thought the dose seemed much higher than the patient (who he
was familiar with) had originally taken and checked the lab results. Realizing the
possibility of an error he contacted the physician who was able to correct the
error before the medication was dispensed.",outpatient/er,NME
"A 68-year-old patient with atrial fibrillation was prescribed heparin infusion. The nurse entered an incorrect infusion rate of 2,000 units/hour instead of 1,000 units/hour. The EHR system immediately flagged the order as exceeding the maximum dose limit. The nurse reviewed the entry, corrected the error, and confirmed the accurate dose before starting infusion.",internal medicine,NME
"A physician ordered oral potassium chloride for mild hypokalemia, but accidentally selected the IV concentrated formulation from the medication list. The pharmacist reviewing the order noticed the mismatch with the route and contacted the physician to verify. The oral form was re-entered correctly before dispensing.",internal medicine,NME
"A bedside nurse prepared 40 units of rapid-acting insulin instead of 4 units for a diabetic patient due to a trailing zero (¡°4.0 U¡±) in the physician¡¯s order. Before injection, the second-check nurse noticed the unusually large syringe volume and verified the order. The correct dose (4 U) was administered.",internal medicine,NME
"Two patients¡¯ blood samples were labeled simultaneously at a medical ward. The laboratory information system (LIS) detected a mismatch between patient demographics and test order. The samples were quarantined automatically, and recollection was ordered. The error was corrected before any results were released.",internal medicine,NME
"A patient was scheduled for a left knee arthroscopy. The circulating nurse noticed that the preoperative marking was mistakenly placed on the right leg by a resident. During the surgical timeout, the nurse verified the consent form and imaging, confirming the procedure site as the left knee. The mark was corrected before incision.",surgery,NME
"Before a laparotomy procedure, the scrub nurse noticed a small residue on one surgical retractor during the setup. The item had passed through sterilization but appeared soiled. The set was removed, and a new sterile tray was opened. The surgery proceeded without delay or contamination risk.",surgery,NME
"An anesthesiologist prepared syringes containing lidocaine and epinephrine in similar clear syringes without labels. Before administration, the nurse anesthetist questioned which syringe contained which medication. The anesthesiologist realized the mix-up risk, labeled both syringes correctly, and no wrong drug was given.",surgery,NME
"During a C-section, the automated sponge counting system flagged a discrepancy after closure count. The team paused and discovered a small sponge lodged under the retractor before wound closure. It was removed immediately, and the count reconciled correctly.",surgery,NME
"A 28-year-old woman in labor was ordered oxytocin 6 mU/min. The nurse mistakenly entered 60 mU/min into the infusion pump. The smart pump¡¯s dose error reduction system (DERS) alarmed ¡°rate exceeds limit.¡± The nurse reviewed the order, corrected it, and started the infusion safely.",ob/gyn/nicu,NME
A postpartum patient was ordered a transfusion after delivery. The electronic crossmatch system detected an Rh incompatibility between the patient (Rh negative) and the selected blood unit (Rh positive). The blood bank technologist immediately halted the release and contacted the obstetrician to issue a compatible unit.,ob/gyn/nicu,NME
"During labor epidural setup, the anesthesiologist prepared both bupivacaine and saline syringes. The circulating nurse noticed the two syringes had similar appearance but different labeling. She requested a verbal verification before connecting to the epidural line. The anesthesiologist confirmed one syringe was mislabeled and corrected it immediately. No wrong medication was injected.",ob/gyn/nicu,NME
"In the NICU, a premature infant¡¯s feeding bottle was labeled with another infant¡¯s name due to a shift-change mix-up. Before feeding, the nurse scanned the barcode on the bottle, and the system displayed ¡°mismatch.¡± The error was corrected, and the correct formula was retrieved.",ob/gyn/nicu,NME
"During a CT angiography setup, the technologist mistakenly entered a contrast volume of 200 mL instead of 100 mL. Before starting the injection, the power injector¡¯s safety system displayed ¡°volume exceeds preset limit.¡± The technologist corrected the entry, and the scan proceeded safely.",radiology/imaging,NME
"A patient arrived for MRI of the lumbar spine wearing an undergarment with metallic hooks. When the technologist scanned the screening barcode, the MRI console displayed ¡°metal object detected.¡± The patient was asked to change into MRI-safe clothing before entering the magnet room. The exam proceeded uneventfully.",radiology/imaging,NME
